product_category_name,total_revenue_per_category
bed_bath_table,1710493.33
health_beauty,1651700.03
computers_accessories,1567243.48
watches_gifts,1415384.5
furniture_decor,1408566.91
sports_leisure,1376032.55
housewares,1082688.79
auto,840964.31
garden_tools,820347.64
cool_stuff,755756.61
office_furniture,641855.81
toys,608943.71
baby,534749.68
perfumery,501960.71
uncategorized,499276.36
telephony,480097.51
stationery,313673.82
pet_shop,309980.02
computers,279121.55
electronics,248381.05
construction_tools_construction,238970.9
musical_instruments,226085.8
small_appliances,218846.1
fashion_bags_accessories,215918.18
fixed_telephony,192369.0
consoles_games,190389.02
luggage_accessories,186405.69
home_construction,136558.55
furniture_living_room,135692.72
home_appliances_2,121701.06
agro_industry_and_commerce,118730.61
home_appliances,95313.14
air_conditioning,90833.04
home_confort,84329.06
kitchen_dining_laundry_garden_furniture,74164.16
drinks,71360.45
construction_tools_lights,70407.24
signaling_and_security,68329.6
books_general_interest,63171.11
construction_tools_safety,61422.88
audio,60296.94
industry_commerce_and_business,56745.76
small_appliances_home_oven_and_coffee,51129.21
food,45961.34
market_place,45155.87
costruction_tools_garden,42004.65
fashion_shoes,32095.3
furniture_bedroom,31370.96
art,28850.47
food_drink,27187.84
books_technical,24615.6
costruction_tools_tools,21069.07
christmas_supplies,18943.75
fashion_male_clothing,17032.03
fashion_underwear_beach,12714.54
tablets_printing_image,10042.93
cine_photo,9530.32
portable_kitchen_food_prep,8570.82
music,6901.43
books_imported,6586.99
dvds_blu_ray,6451.52
furniture_mattress_and_upholstery,5998.54
party_supplies,5966.31
fashio_female_clothing,5004.45
diapers_and_hygiene,4181.23
pc_gaming,3850.02
fashion_sport,3605.83
la_cuisine,2913.53
arts_and_craftmanship,2326.17
flowers,2213.01
home_comfort_2,1710.54
cds_dvds_musicals,1199.43
fashion_childrens_clothes,718.98
security_and_services,324.51
,226.96
