product_category_name,total_revenue_per_category
health_beauty,1486023.75
watches_gifts,1357478.82
bed_bath_table,1310284.13
sports_leisure,1198524.35
computers_accessories,1095456.98
furniture_decor,946593.12
housewares,820851.24
cool_stuff,750150.02
auto,712442.08
garden_tools,623851.98
toys,581280.09
baby,506010.22
perfumery,469112.3
telephony,413564.32
office_furniture,357621.51
stationery,287860.0
pet_shop,264128.48
computers,253374.41
musical_instruments,230543.23
,227678.15
small_appliances,217658.94
electronics,214698.38
fashion_bags_accessories,195889.57
consoles_games,186999.86
luggage_accessories,180577.27
construction_tools_construction,168069.75
home_appliances_2,135642.58
home_construction,102080.61
home_appliances,97411.45
furniture_living_room,91958.19
agro_industry_and_commerce,90808.77
home_confort,73655.84
fixed_telephony,66465.41
air_conditioning,62810.88
kitchen_dining_laundry_garden_furniture,61118.13
audio,58430.16
books_general_interest,57627.88
small_appliances_home_oven_and_coffee,51830.37
construction_tools_lights,49474.18
industry_commerce_and_business,48012.54
construction_tools_safety,45966.24
food,37649.99
market_place,35188.63
costruction_tools_garden,31678.78
fashion_shoes,29703.08
art,28912.99
drinks,28722.22
signaling_and_security,28120.83
furniture_bedroom,27429.87
books_technical,23607.91
food_drink,21091.48
costruction_tools_tools,18155.42
fashion_male_clothing,13974.21
fashion_underwear_beach,12419.06
christmas_supplies,12079.84
tablets_printing_image,9140.68
cine_photo,8208.95
dvds_blu_ray,7889.99
music,6973.59
furniture_mattress_and_upholstery,6548.53
books_imported,5661.13
party_supplies,5636.43
fashio_female_clothing,3425.39
fashion_sport,2697.64
la_cuisine,2690.87
arts_and_craftmanship,2184.14
diapers_and_hygiene,2141.27
flowers,1598.91
home_comfort_2,1194.44
cds_dvds_musicals,954.99
fashion_childrens_clothes,665.36
security_and_services,324.51
